Group,Taxa,Species,Hatchlingmodeoflife,HatchlingMLmm,MaximumadultMLmm,AdultoffsprgSizeratio,Hatching_weight_g,Max_weight_g
'Neritic squids','Squid',Doryteuthis gahi,'P',3,400,133.3333333,0.023547393,1113.802147
'Neritic squids','Squid',Doryteuthis opalescens,'P',2.7,305,112.962963,0.018675677,613.3886229
'Neritic squids','Squid',Doryteuthis pealeii,'P',1.7,465,273.5294118,0.006749377,1551.217038
'Neritic squids','Squid',Doryteuthis plei,'P',1.5,370,246.6666667,0.005124799,938.2527864
'Neritic squids','Squid',Heteroligo bleeken,'P',3.3,380,115.1515152,0.029040677,994.9470816
'Neritic squids','Squid',Loligo forbesii,'P',4.2,937,223.0952381,0.04936561,7246.080756
'Neritic squids','Squid',Loligo reynaudii,'P',2.4,400,166.6666667,0.014412549,1113.802147
'Neritic squids','Squid',Loligo vulgaris,'P',3.3,640,193.9393939,0.029040677,3132.362476
'Neritic squids','Squid',Lolligunculla diomedeae,'P',1.3,115,88.46153846,0.003740688,71.74825098
'Neritic squids','Squid',Loliolus japonica,'P',2.3,150,65.2173913,0.013124335,128.7291317
'Neritic squids','Squid',Loliolus sumatrensis,'P',1.5,120,80,0.005124799,78.79067321
'Neritic squids','Squid',Uroteuthis duvaucelii,'P',1.1,330,300,0.00259024,729.4688271
'Neritic squids','Squid',Uroteuthis edulis,'p',2,502,251,0.009650328,1835.795275
'Neritic squids','Squid',Sepioteuthis australis,'p',6.8,394,57.94117647,0.142493705,1077.377144
'Neritic squids','Squid',Sepioteuthis sepioidea,'p',5,200,40,0.072445277,242.4052717
'Oceanic squids','Squid',Dosidicus gigas,'p',1.1,1200,1090.909091,0.00259024,12487.48016
'Oceanic squids','Squid',Gonatus madokai,'p',7.2,470,65.27777778,0.161587426,1588.149409
'Oceanic squids','Squid',Gonatus onyx,'p',3.4,150,44.11764706,0.031011994,128.7291317
'Oceanic squids','Squid',Illex argentinus,'p',1.6,400,250,0.005906634,1113.802147
'Oceanic squids','Squid',Illex coindetj,'p',1.4,379,270.7142857,0.004403092,989.1959551
'Oceanic squids','Squid',Illex illecebrosus,'p',1.2,340,283.3333333,0.003136713,778.9860625
'Oceanic squids','Squid',Ommastrephes barramii,'p',1.3,600,461.5384615,0.003740688,2717.745722
'Oceanic squids','Squid',"Thysanoteuthis ,rhombus",'p',1.4,1000,714.2857143,0.004403092,8361.343586
'Oceanic squids','Squid',Todarodes pacficus,'p',1.3,500,384.6153846,0.003740688,1819.743092
'Oceanic squids','Squid',Todarodes sagittatus,'p',1.8,750,416.6666667,0.007653773,4440.285032
'Oceanic squids','Squid',Todaropsis eblanae,'p',2.2,290,131.8181818,0.011901617,548.9738597
'Oceanic squids','Squid',Watasenia scintillans,'p',1.4,70,50,0.004403092,24.07086837
